"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
125,400284.589,3876547.818,0.922,0.1607,19.933,0.1608,19.964,1.7,3.0,1
126,400284.689,3876547.692,0.925,0.1607,20.093,0.1608,20.125,1.2,2.1,1
127,400284.789,3876547.567,0.927,0.1607,20.254,0.1608,20.285,0.8,1.3,1
128,400284.889,3876547.441,0.928,0.1607,20.415,0.1607,20.446,0.4,0.6,1
129,400284.990,3876547.316,0.927,0.1607,20.576,0.1608,20.607,0.6,1.0,1
130,400285.090,3876547.190,0.923,0.1607,20.736,0.1608,20.768,1.4,2.5,1
131,400285.190,3876547.064,0.919,0.1607,20.897,0.1608,20.928,1.3,2.3,1
132,400285.290,3876546.939,0.916,0.1607,21.058,0.1608,21.089,1.0,1.8,1
133,400285.391,3876546.813,0.914,0.1607,21.219,0.1608,21.25,0.8,1.4,1
134,400285.491,3876546.687,0.912,0.1607,21.379,0.1608,21.411,0.7,1.1,1
135,400285.591,3876546.562,0.912,0.1607,21.54,0.1607,21.571,0.0,0.0,1
136,400285.691,3876546.436,0.913,0.1607,21.701,0.1608,21.732,0.4,0.8,1
137,400285.791,3876546.311,0.915,0.1607,21.861,0.1608,21.893,0.4,0.8,1
138,400285.892,3876546.185,0.915,0.1607,22.022,0.1607,22.054,0.2,0.3,1
139,400285.992,3876546.059,0.916,0.1607,22.183,0.1607,22.214,0.2,0.4,1
140,400286.092,3876545.934,0.916,0.1607,22.344,0.1607,22.375,0.0,0.1,1
141,400286.192,3876545.808,0.915,0.1607,22.504,0.1607,22.536,0.3,0.6,1
142,400286.292,3876545.682,0.913,0.1607,22.665,0.1608,22.697,0.6,1.0,1
143,400286.393,3876545.557,0.912,0.1607,22.826,0.1608,22.857,0.5,0.8,1
144,400286.493,3876545.431,0.91,0.1607,22.987,0.1608,23.018,0.7,1.2,1
145,400286.593,3876545.305,0.908,0.1607,23.147,0.1608,23.179,0.6,1.0,1
146,400286.693,3876545.180,0.909,0.1607,23.308,0.1607,23.34,0.1,0.2,1
147,400286.793,3876545.054,0.911,0.1607,23.469,0.1608,23.5,0.8,1.4,1
148,400286.894,3876544.929,0.915,0.1607,23.63,0.1608,23.661,1.6,2.8,1
149,400286.994,3876544.803,0.921,0.1607,23.79,0.1608,23.822,1.8,3.1,1
150,400287.094,3876544.677,0.927,0.1607,23.951,0.1609,23.983,2.2,3.8,1
151,400287.194,3876544.552,0.933,0.1607,24.112,0.1609,24.144,2.2,3.8,1
152,400287.294,3876544.426,0.939,0.1607,24.273,0.1609,24.305,2.1,3.6,1
153,400287.395,3876544.300,0.944,0.1607,24.433,0.1608,24.465,2.0,3.5,1
154,400287.495,3876544.175,0.949,0.1607,24.594,0.1608,24.626,1.9,3.3,1
155,400287.595,3876544.049,0.954,0.1607,24.755,0.1608,24.787,1.7,2.9,1
156,400287.695,3876543.923,0.958,0.1607,24.916,0.1608,24.948,1.5,2.6,1
157,400287.795,3876543.798,0.963,0.1607,25.076,0.1608,25.109,1.8,3.1,1
158,400287.896,3876543.672,0.968,0.1607,25.237,0.1608,25.27,1.7,3.0,1
159,400287.996,3876543.547,0.972,0.1607,25.398,0.1608,25.43,1.3,2.3,1
160,400288.096,3876543.421,0.976,0.1607,25.559,0.1608,25.591,1.3,2.3,1
161,400288.196,3876543.295,0.981,0.1607,25.719,0.1608,25.752,1.8,3.2,1
162,400288.297,3876543.170,0.986,0.1607,25.88,0.1608,25.913,1.9,3.3,1
163,400288.397,3876543.044,0.991,0.1607,26.041,0.1608,26.074,1.9,3.3,1
164,400288.497,3876542.918,0.996,0.1607,26.202,0.1608,26.234,1.5,2.7,1
165,400288.597,3876542.793,0.999,0.1607,26.362,0.1608,26.395,1.4,2.4,1
166,400288.697,3876542.667,1.002,0.1607,26.523,0.1608,26.556,1.0,1.7,1
167,400288.798,3876542.541,1.003,0.1607,26.684,0.1607,26.717,0.4,0.6,1
168,400288.898,3876542.416,1.003,0.1607,26.845,0.1607,26.878,0.2,0.3,1
169,400288.998,3876542.290,1.001,0.1607,27.005,0.1608,27.038,0.4,0.8,1
170,400289.098,3876542.165,1,0.1607,27.166,0.1607,27.199,0.3,0.6,1
171,400289.198,3876542.039,0.998,0.1607,27.327,0.1608,27.36,0.9,1.6,1
172,400289.299,3876541.913,0.994,0.1607,27.488,0.1608,27.521,1.3,2.3,1
173,400289.399,3876541.788,0.99,0.1607,27.648,0.1608,27.681,1.6,2.8,1
174,400289.499,3876541.662,0.986,0.1607,27.809,0.1608,27.842,1.3,2.3,1
175,400289.599,3876541.536,0.984,0.1607,27.97,0.1608,28.003,0.7,1.3,1
176,400289.699,3876541.411,0.982,0.1607,28.131,0.1608,28.164,0.7,1.2,1
177,400289.800,3876541.285,0.981,0.1607,28.291,0.1607,28.324,0.2,0.4,1
178,400289.900,3876541.160,0.982,0.1607,28.452,0.1607,28.485,0.3,0.6,1
179,400290.000,3876541.034,0.985,0.1607,28.613,0.1608,28.646,0.8,1.4,1
180,400290.100,3876540.908,0.987,0.1607,28.774,0.1608,28.807,0.9,1.6,1
181,400290.200,3876540.783,0.99,0.1607,28.934,0.1608,28.967,1.0,1.8,1
182,400290.301,3876540.657,0.995,0.1607,29.095,0.1608,29.128,1.8,3.1,1
183,400290.401,3876540.531,1.004,0.1607,29.256,0.161,29.289,3.2,5.6,1
184,400290.501,3876540.406,1.015,0.1607,29.417,0.1611,29.45,4.0,7.1,1
185,400290.601,3876540.280,1.027,0.1607,29.577,0.1612,29.612,4.2,7.3,1
186,400290.701,3876540.154,1.037,0.1607,29.738,0.1611,29.773,3.5,6.2,1
187,400290.802,3876540.029,1.046,0.1607,29.899,0.161,29.934,3.3,5.7,1
188,400290.902,3876539.903,1.053,0.1607,30.06,0.1609,30.095,2.3,4.0,1
189,400291.002,3876539.778,1.056,0.1607,30.22,0.1608,30.255,1.3,2.4,1
190,400291.102,3876539.652,1.057,0.1607,30.381,0.1607,30.416,0.4,0.7,1
191,400291.202,3876539.526,1.058,0.1607,30.542,0.1607,30.577,0.0,0.0,1
192,400291.303,3876539.401,1.059,0.1607,30.703,0.1608,30.738,0.4,0.7,1
193,400291.403,3876539.275,1.059,0.1607,30.863,0.1607,30.898,0.1,0.1,1
194,400291.503,3876539.149,1.059,0.1607,31.024,0.1607,31.059,0.1,0.2,1
195,400291.603,3876539.024,1.06,0.1607,31.185,0.1607,31.22,0.1,0.2,1
196,400291.704,3876538.898,1.062,0.1607,31.346,0.1608,31.381,0.9,1.6,1
197,400291.804,3876538.772,1.064,0.1607,31.506,0.1608,31.541,0.5,0.9,1
198,400291.904,3876538.647,1.064,0.1607,31.667,0.1607,31.702,0.1,0.2,1
199,400292.004,3876538.521,1.065,0.1607,31.828,0.1608,31.863,0.5,0.9,1
200,400292.104,3876538.396,1.068,0.1607,31.989,0.1608,32.024,0.9,1.5,1
201,400292.205,3876538.270,1.071,0.1607,32.149,0.1608,32.184,1.2,2.0,1
202,400292.305,3876538.144,1.075,0.1607,32.31,0.1608,32.345,1.6,2.7,1
203,400292.405,3876538.019,1.083,0.1607,32.471,0.1609,32.506,2.8,4.8,1
204,400292.505,3876537.893,1.091,0.1607,32.632,0.1609,32.667,2.8,4.9,1
205,400292.605,3876537.767,1.1,0.1607,32.792,0.161,32.828,3.0,5.2,1
206,400292.706,3876537.642,1.107,0.1607,32.953,0.1609,32.989,2.8,4.9,1
207,400292.806,3876537.516,1.115,0.1607,33.114,0.1609,33.15,2.8,4.9,1
208,400292.906,3876537.391,1.122,0.1607,33.274,0.1609,33.311,2.5,4.4,1
209,400293.006,3876537.265,1.129,0.1607,33.435,0.1609,33.472,2.4,4.1,1
210,400293.106,3876537.139,1.135,0.1607,33.596,0.1609,33.633,2.1,3.6,1
211,400293.207,3876537.014,1.14,0.1607,33.757,0.1608,33.793,1.9,3.3,1
212,400293.307,3876536.888,1.144,0.1607,33.917,0.1608,33.954,1.4,2.5,1
213,400293.407,3876536.762,1.146,0.1607,34.078,0.1608,34.115,0.6,1.1,1
214,400293.507,3876536.637,1.146,0.1607,34.239,0.1607,34.276,0.1,0.2,1
215,400293.607,3876536.511,1.145,0.1607,34.4,0.1608,34.436,0.4,0.7,1
216,400293.708,3876536.385,1.143,0.1607,34.56,0.1608,34.597,0.6,1.0,1
217,400293.808,3876536.260,1.14,0.1607,34.721,0.1608,34.758,1.1,1.8,1
218,400293.908,3876536.134,1.138,0.1607,34.882,0.1608,34.919,0.9,1.6,1
